taxon_id,actual_taxa,read1,read2,run,te
VB0282,Africa|TZA|ERR2442250|T10|2015-01-01,gs://fc-13f38cf5-2b91-4a88-b021-fb920d10585c/submissions/58d16b77-0e24-4c83-93d5-0210dacee90d/fetch_sra_to_fastq/950f1229-fd6d-4919-b2f7-5b55b8889942/call-fastq_dl_sra/ERR2442250_1.fastq.gz,gs://fc-13f38cf5-2b91-4a88-b021-fb920d10585c/submissions/58d16b77-0e24-4c83-93d5-0210dacee90d/fetch_sra_to_fastq/950f1229-fd6d-4919-b2f7-5b55b8889942/call-fastq_dl_sra/ERR2442250_2.fastq.gz,ERR2442250,T10
VB0074,Africa|KEN|KEN-2009-046|T10|2009-01-01,gs://fc-13f38cf5-2b91-4a88-b021-fb920d10585c/submissions/58d16b77-0e24-4c83-93d5-0210dacee90d/fetch_sra_to_fastq/b9f37398-f6d9-488d-bffe-2a678c601b48/call-fastq_dl_sra/SRR28466934_1.fastq.gz,gs://fc-13f38cf5-2b91-4a88-b021-fb920d10585c/submissions/58d16b77-0e24-4c83-93d5-0210dacee90d/fetch_sra_to_fastq/b9f37398-f6d9-488d-bffe-2a678c601b48/call-fastq_dl_sra/SRR28466934_2.fastq.gz,SRR28466934,T10
VB0198,Africa|GIN|ERR998676|T9|1995-01-01,gs://fc-13f38cf5-2b91-4a88-b021-fb920d10585c/submissions/a052c2e9-f488-4411-a63a-272c16f3ff10/fetch_sra_to_fastq/9d8dfa20-2a93-408a-ac39-112b5c9de9b2/call-fastq_dl_sra/ERR998676_1.fastq.gz,gs://fc-13f38cf5-2b91-4a88-b021-fb920d10585c/submissions/a052c2e9-f488-4411-a63a-272c16f3ff10/fetch_sra_to_fastq/9d8dfa20-2a93-408a-ac39-112b5c9de9b2/call-fastq_dl_sra/ERR998676_2.fastq.gz,ERR998676,T9
VB0173,Africa|TGO|ERR572840|T9|2011-01-01,gs://fc-13f38cf5-2b91-4a88-b021-fb920d10585c/submissions/58d16b77-0e24-4c83-93d5-0210dacee90d/fetch_sra_to_fastq/f98fa956-3baa-46f8-ad00-7e288ded1860/call-fastq_dl_sra/ERR572840_1.fastq.gz,gs://fc-13f38cf5-2b91-4a88-b021-fb920d10585c/submissions/58d16b77-0e24-4c83-93d5-0210dacee90d/fetch_sra_to_fastq/f98fa956-3baa-46f8-ad00-7e288ded1860/call-fastq_dl_sra/ERR572840_2.fastq.gz,ERR572840,T9
VB0135,Africa|KEN|ERR028074|T10|2009-01-01,gs://fc-13f38cf5-2b91-4a88-b021-fb920d10585c/submissions/a052c2e9-f488-4411-a63a-272c16f3ff10/fetch_sra_to_fastq/cee3966c-e679-420d-828f-772bd914b90f/call-fastq_dl_sra/ERR028074_1.fastq.gz,gs://fc-13f38cf5-2b91-4a88-b021-fb920d10585c/submissions/a052c2e9-f488-4411-a63a-272c16f3ff10/fetch_sra_to_fastq/cee3966c-e679-420d-828f-772bd914b90f/call-fastq_dl_sra/ERR028074_2.fastq.gz,ERR028074,T10
VB0210,Africa|DJI|ERR1877649|T6|2000-01-01,gs://fc-13f38cf5-2b91-4a88-b021-fb920d10585c/submissions/a052c2e9-f488-4411-a63a-272c16f3ff10/fetch_sra_to_fastq/7e8ba9e9-7424-4f25-86c0-65faec2849b0/call-fastq_dl_sra/ERR1877649_1.fastq.gz,gs://fc-13f38cf5-2b91-4a88-b021-fb920d10585c/submissions/a052c2e9-f488-4411-a63a-272c16f3ff10/fetch_sra_to_fastq/7e8ba9e9-7424-4f25-86c0-65faec2849b0/call-fastq_dl_sra/ERR1877649_2.fastq.gz,ERR1877649,T6
VB0231,Africa|ZAF|ERR1880774|T8|2001-01-01,gs://fc-13f38cf5-2b91-4a88-b021-fb920d10585c/submissions/58d16b77-0e24-4c83-93d5-0210dacee90d/fetch_sra_to_fastq/89cdaba3-94e7-4185-9081-d82b33b9054e/call-fastq_dl_sra/ERR1880774_1.fastq.gz,gs://fc-13f38cf5-2b91-4a88-b021-fb920d10585c/submissions/58d16b77-0e24-4c83-93d5-0210dacee90d/fetch_sra_to_fastq/89cdaba3-94e7-4185-9081-d82b33b9054e/call-fastq_dl_sra/ERR1880774_2.fastq.gz,ERR1880774,T8
VB0019,Africa|MWI|MW_NGSRL_634_238|T15|2023-06-01,gs://cholgen-data/malawi/regional-analysis-2024/MW_NGSRL_634_238.R1.fastq.gz,gs://cholgen-data/malawi/regional-analysis-2024/MW_NGSRL_634_238.R2.fastq.gz,,T15
VB0050,Africa|ZMB|CHS3580|T15|2023-12-02,gs://cholgen-data/zambia/regional-analysis-2024/CHS3580_R1.fastq.gz,gs://cholgen-data/zambia/regional-analysis-2024/CHS3580_R2.fastq.gz,,T15
VB0028,Africa|NGA|NG_NRL-CHL-22-060|T12|2022-03-09,gs://cholgen-data/nigeria/regional-analysis-2024/NG_NRL-CHL-22-060_1.fastq.gz,gs://cholgen-data/nigeria/regional-analysis-2024/NG_NRL-CHL-22-060_2.fastq.gz,,T12
